######################################################################################################################
######################################################################################################################
#René Kiefer and Anne-Marie Broomhall
#They Do Change After All: 25 Years of GONG Data Reveal Variation of p-Mode Energy Supply Rates
#
#Online-only table with mode inertiae and energy supply rates of all multiplets
#that are present in at least 50% of the GONG samples.
#
######################################################################################################################
######################################################################################################################
#Col 1: Radial order
#Col 2: Harmonic degree
#Col 3: Mode frequency from model S in muHz
#Col 4: Number of GONG months in which mode is present
#Col 5: Mode inertia at GONG observation height calculated with Eq.(3)
#Col 6: Mode inertia at photospheric radius calculated with Eq.(3)
#Col 7: Mode mass scaling Q at GONG observation height calculated with Eq.(4)
#Col 8: Mode mass scaling Q at photospheric radius calculated with Eq.(4)
#Col 9-14: Energy supply rate in 10**22 erg s^-1 at GONG observation height without scaling by Q
#	  9-10: Variance-weighted average over all available time sample and its uncertainty
#	  11-12: Variance-weighted average over the periods of activity minima and its uncertainty
#	  13-14: Variance-weighted average over the periods of activity maxima and its uncertainty
#Col 15-20: Energy supply rate in 10**22 erg s^-1 at GONG observation height with scaling by Q
#Col 21-26: Energy supply rate in 10**22 erg s^-1 at photospheric radius without scaling by Q
#Col 27-32: Energy supply rate in 10**22 erg s^-1 at photospheric radius with scaling by Q
######################################################################################################################
######################################################################################################################
#Python code snippet to read this table:
# import pandas as pd
# table_path = 'your_path_to_table/erate_table_multiplets_online.dat'
# dEdt_multiplets = pd.read_table(table_path, skiprows=34, delim_whitespace=True, header=None)
######################################################################################################################
######################################################################################################################

 27   0 3858.760 171 2.616825819e-10 5.604352747e-10    1.000    1.000  24.55248   0.28450  24.60982   0.54394  23.44516   0.60546  24.55248   0.28450  24.60982   0.54394  23.44516   0.60546  52.58308   0.60929  52.70588   1.16493  50.21157   1.29668  52.58308   0.60929  52.70588   1.16493  50.21157   1.29668
 28   0 3996.425 168 2.457591061e-10 5.655651887e-10    1.000    1.000  19.59043   0.25486  19.42766   0.46336  18.78232   0.59662  19.59043   0.25486  19.42766   0.46336  18.78232   0.59662  45.08345   0.58650  44.70885   1.06632  43.22374   1.37299  45.08345   0.58650  44.70885   1.06632  43.22374   1.37299
 29   0 4134.327 133 2.304875848e-10 5.738446240e-10    1.000    1.000  15.00629   0.25650  15.76979   0.49541  16.04761   0.68962  15.00629   0.25650  15.76979   0.49541  16.04761   0.68962  37.36113   0.63860  39.26202   1.23343  39.95372   1.71695  37.36113   0.63860  39.26202   1.23343  39.95372   1.71695
 14   1 2156.854 171 2.390525754e-09 2.937108541e-09    0.994    0.994   0.06299   0.00113   0.07202   0.00237   0.06060   0.00284   0.06262   0.00113   0.07161   0.00236   0.06025   0.00282   0.07739   0.00139   0.08849   0.00292   0.07446   0.00349   0.07694   0.00138   0.08798   0.00290   0.07403   0.00347
 15   1 2292.276 231 1.581086754e-09 1.998281406e-09    1.000    1.000   0.12650   0.00110   0.12829   0.00216   0.12749   0.00275   0.12653   0.00110   0.12832   0.00216   0.12753   0.00275   0.15988   0.00139   0.16214   0.00273   0.16113   0.00347   0.15992   0.00139   0.16218   0.00273   0.16117   0.00348
 16   1 2426.381 240 1.109044756e-09 1.444576508e-09    0.999    0.999   0.12956   0.00159   0.14747   0.00323   0.13927   0.00353   0.12948   0.00159   0.14737   0.00323   0.13918   0.00353   0.16876   0.00207   0.19208   0.00421   0.18140   0.00460   0.16864   0.00207   0.19194   0.00421   0.18127   0.00460
 17   1 2560.650 245 8.433885891e-10 1.134760307e-09    0.996    0.996   0.34269   0.00191   0.36859   0.00435   0.35095   0.00523   0.34129   0.00190   0.36709   0.00434   0.34951   0.00521   0.46109   0.00257   0.49593   0.00586   0.47219   0.00704   0.45921   0.00256   0.49391   0.00583   0.47026   0.00701
 18   1 2695.410 242 6.861901721e-10 9.560792579e-10    1.002    1.002   0.41508   0.00275   0.41112   0.00560   0.40840   0.00656   0.41574   0.00276   0.41177   0.00561   0.40905   0.00657   0.57833   0.00384   0.57282   0.00780   0.56903   0.00914   0.57924   0.00384   0.57371   0.00781   0.56992   0.00916
 19   1 2830.963 242 5.717043393e-10 8.271639803e-10    0.997    0.997   0.82367   0.00353   0.87530   0.00792   0.85622   0.00867   0.82131   0.00352   0.87279   0.00789   0.85377   0.00864   1.19171   0.00511   1.26642   0.01145   1.23882   0.01254   1.18829   0.00509   1.26278   0.01142   1.23526   0.01251
 20   1 2967.042 242 4.854001573e-10 7.313815952e-10    0.998    0.998   0.97488   0.00563   1.02175   0.01202   0.99340   0.01430   0.97323   0.00562   1.02002   0.01200   0.99172   0.01427   1.46891   0.00849   1.53954   0.01811   1.49682   0.02154   1.46646   0.00847   1.53698   0.01808   1.49433   0.02151
 21   1 3102.939 224 4.206568833e-10 6.619811777e-10    1.001    1.001   1.33542   0.00686   1.40013   0.01567   1.40724   0.01726   1.33616   0.00686   1.40091   0.01568   1.40803   0.01727   2.10152   0.01079   2.20337   0.02466   2.21456   0.02717   2.10263   0.01080   2.20453   0.02467   2.21572   0.02718
 22   1 3239.178 227 3.725986325e-10 6.144056079e-10    0.997    0.997   1.06360   0.00634   1.12130   0.01117   1.06949   0.01097   1.06015   0.00632   1.11766   0.01113   1.06602   0.01094   1.75384   0.01045   1.84900   0.01841   1.76356   0.01810   1.74816   0.01042   1.84300   0.01836   1.75784   0.01804
 23   1 3375.741 181 3.391636805e-10 5.881213662e-10    1.000    1.000   1.09199   0.00874   1.06000   0.01679   1.11857   0.02144   1.09250   0.00874   1.06049   0.01680   1.11909   0.02145   1.89355   0.01515   1.83808   0.02912   1.93964   0.03718   1.89444   0.01515   1.83894   0.02913   1.94056   0.03720
 11   2 1810.281 151 8.261185117e-09 9.530459357e-09    0.998    0.998   0.08086   0.00212   0.07684   0.00388   0.07418   0.00489   0.08070   0.00212   0.07669   0.00387   0.07403   0.00488   0.09329   0.00245   0.08865   0.00448   0.08558   0.00564   0.09310   0.00245   0.08847   0.00447   0.08540   0.00563
 14   2 2217.770 244 1.975556556e-09 2.457670560e-09    0.997    0.997   0.60242   0.00301   0.65668   0.00592   0.61992   0.00692   0.60041   0.00300   0.65449   0.00590   0.61784   0.00690   0.74944   0.00374   0.81694   0.00737   0.77120   0.00861   0.74693   0.00373   0.81421   0.00735   0.76862   0.00858
 15   2 2352.872 249 1.329881350e-09 1.703381365e-09    0.998    0.998   1.13242   0.00408   1.15129   0.00791   1.12741   0.00942   1.12980   0.00407   1.14863   0.00789   1.12481   0.00940   1.45047   0.00523   1.47463   0.01013   1.44405   0.01206   1.44712   0.00522   1.47123   0.01011   1.44072   0.01204
 16   2 2487.037 250 9.716139501e-10 1.283880848e-09    0.998    0.998   1.66239   0.00520   1.70359   0.00996   1.65747   0.01151   1.65894   0.00519   1.70004   0.00994   1.65402   0.01149   2.19667   0.00688   2.25110   0.01316   2.19016   0.01521   2.19208   0.00686   2.24640   0.01313   2.18558   0.01518
 17   2 2621.414 250 7.625263608e-10 1.041937412e-09    0.997    0.997   2.07628   0.00667   2.19003   0.01421   2.07746   0.01567   2.06943   0.00664   2.18281   0.01417   2.07061   0.01562   2.83709   0.00911   2.99252   0.01942   2.83870   0.02141   2.82774   0.00908   2.98266   0.01936   2.82935   0.02134
 18   2 2756.954 250 6.290336961e-10 8.912812345e-10    0.998    0.998   2.96947   0.00751   3.13864   0.01590   3.06049   0.01921   2.96373   0.00750   3.13256   0.01587   3.05457   0.01918   4.20746   0.01064   4.44715   0.02253   4.33643   0.02722   4.19931   0.01062   4.43854   0.02249   4.32803   0.02717
 19   2 2892.805 251 5.299422496e-10 7.807394159e-10    0.997    0.997   3.83211   0.01361   3.97869   0.02801   3.82748   0.03368   3.82192   0.01357   3.96810   0.02794   3.81730   0.03360   5.64567   0.02005   5.86162   0.04127   5.63886   0.04963   5.63064   0.02000   5.84600   0.04116   5.62384   0.04949
 20   2 3028.970 250 4.521135121e-10 6.945913786e-10    0.997    0.997   5.22337   0.01452   5.38363   0.02780   4.99490   0.03873   5.20936   0.01448   5.36918   0.02772   4.98150   0.03862   8.02478   0.02231   8.27098   0.04270   7.67377   0.05949   8.00332   0.02225   8.24886   0.04259   7.65325   0.05933
 21   2 3165.282 251 3.965122880e-10 6.372133342e-10    0.998    0.998   5.63481   0.01695   5.72295   0.03331   5.77416   0.04032   5.62401   0.01692   5.71199   0.03325   5.76310   0.04025   9.05539   0.02725   9.19704   0.05353   9.27934   0.06480   9.03802   0.02719   9.17940   0.05343   9.26154   0.06468
 22   2 3301.640 250 3.557285038e-10 5.999703425e-10    0.997    0.997   6.37629   0.02444   6.59576   0.05172   6.49962   0.05992   6.35916   0.02437   6.57803   0.05158   6.48216   0.05975  10.75423   0.04122  11.12438   0.08724  10.96224   0.10105  10.72534   0.04111  11.09449   0.08700  10.93278   0.10078
 23   2 3438.641 251 3.252975027e-10 5.780190079e-10    0.998    0.998   7.18538   0.02172   7.07518   0.04042   6.76019   0.04938   7.17102   0.02168   7.06104   0.04034   6.74668   0.04928  12.76766   0.03860  12.57184   0.07183  12.01214   0.08774  12.74220   0.03852  12.54677   0.07169  11.98819   0.08757
 24   2 3575.902 251 3.014027989e-10 5.665443383e-10    0.998    0.998   7.75091   0.02218   7.62276   0.03903   7.58311   0.04778   7.73554   0.02214   7.60764   0.03895   7.56807   0.04768  14.56932   0.04170  14.32844   0.07336  14.25391   0.08981  14.54033   0.04161  14.29992   0.07321  14.22555   0.08963
